OrderID,ProductID,ProductName,SupplierID,SupplierName,ManufacturerID,ManufacturerName,DistributorID,DistributorName,RetailerID,RetailerName,CustomerID,CustomerName,OrderDate,ShipDate,DeliveryDate,OrderQuantity,ShipQuantity,DeliveryQuantity,OrderStatus,ShipmentStatus,TotalCost,PaymentStatus
f2282ab7-e2a7-4c23-a731-83ab1cbd14e4,28541666-470d-480c-b5a6-fc16e1a92113,EcoFresh Water Bottle,ca00c405-264f-4a93-b97e-bff19244be67,Burns-Alvarez,6ee9389f-b368-4e3c-a853-e1095c1c91b8,Harris Ltd,81e9ad72-6c32-4527-a386-4554b7c0b9c5,Allen-Wood,27403902-f020-4a81-8f77-5bfa6d23c7ab,"Lewis, Coleman and Clayton",4af6d147-ff89-40d7-90fe-42f3dd95932b,Michael Clayton,29-03-2024,29-03-2024,29-03-2024,50,50,50,Ordered,Delivered,899.13,Overdue
2eae02ba-5227-42ae-9bb4-33140fde207b,f027b82d-c296-442e-ad59-c0a6ebaa29a9,EcoFresh Water Bottle,6ffb871b-2a6c-47d8-8017-9aff6d2117f2,Cruz-Vega,62020bf4-9853-4c47-bf50-294dba244713,"Becker, Brown and Martinez",0ce86ab4-74ee-4267-ae4b-03e18f7c1419,"Rose, Hess and Huang",019f8893-3f4d-4e0d-8153-51a7560aca68,Mercado-Sloan,977e1794-04a4-462b-bf25-f0122ad9adbf,Alexis Nelson,16-05-2024,16-05-2024,16-05-2024,55,6,6,Shipped,Delivered,355.35,Paid
3f829de2-697d-492a-8967-34488839519a,b45d96d5-fbb4-417e-868c-02be5d83ab46,EcoFresh Water Bottle,483ac28d-ee42-4a13-baf7-4378115d6df8,Richards PLC,4c59863d-5bb6-4fa7-902c-5739032b2411,"Huffman, Tucker and Jimenez",78326864-f92f-4dfc-b82f-e5d424612f70,"Torres, Mcdonald and Hayes",aed0c442-475b-4702-aa76-ed77e8c3308b,Quinn Group,98dd1c9a-a871-41c1-b55b-68ff01a754fe,Kim Potter,11-05-2024,04-06-2024,04-06-2024,36,36,36,Shipped,In Transit,914.71,Paid
4663645b-7cbb-4434-b62d-3e38efb6eabd,9deb937b-2ea9-4bec-9b39-d22d3b17cb5d,EcoFresh Water Bottle,4ee339a8-8a1d-43ca-83b8-2f57a24bbce8,Craig-Lewis,e4c358d4-8ea0-490e-a6b6-8f0ea119d232,Fisher Ltd,91e9d56e-2e18-4a32-a8c9-ca4d0873ae3e,Price-Torres,2c68c4a2-41d1-403e-87b3-d62e7afd10f0,Jefferson-Cunningham,a3e3925c-e3a5-42c3-8032-d71cc7e54650,Sarah Webb,03-05-2024,03-05-2024,03-05-2024,85,52,15,Shipped,Delivered,330.74,Pending
fe09bfa8-0fad-436f-9c2e-36628dba3d1e,544029bd-5772-4fce-9483-74bf3c8b2c43,EcoFresh Water Bottle,5fecb139-6eef-4547-82ed-b5e5d7a46be4,"Campbell, Bailey and Rodriguez",35a38e30-dd7d-4c3d-abce-31e97ea0a893,King Inc,9fa4e7de-32fe-4b8d-add1-a68f77c705b5,"Sweeney, Arellano and Collins",c62902f9-1dc5-4bc3-a5e9-cae19d8b3396,Lindsey and Sons,56f991c6-8f1c-4db4-a517-fab7183e48b1,Kathryn Olson,08-01-2024,08-01-2024,12-04-2024,33,33,33,Shipped,In Transit,181.28,Pending
362fc608-73df-4bb6-885a-206e5faee07d,e371d90a-e22b-48b5-99cb-2266638f82ce,EcoFresh Water Bottle,0b22b554-e472-41e1-bd26-76ae952715c1,"Hunt, Pope and Morgan",71fc9a03-0ddd-47ee-a740-6c86d8cdfbc5,Stanton-Harvey,be8ae8a8-677c-4f51-a526-a8e77010a7d4,"Williams, Wright and Russell",fbc96689-a0fc-475b-b818-c389b2e76a3a,"Flores, Olson and Jackson",06695173-390d-46ad-8d95-f5db6e4bee70,Lydia Bailey,26-11-2023,01-05-2024,01-05-2024,81,80,46,Shipped,In Transit,183.36,Paid
6a8e9b5b-c627-41ef-b8de-f5b703bcc20a,3cbc67b6-e520-4a34-9da6-597243424a89,EcoFresh Water Bottle,60ee9692-8d9f-47a7-8e0f-fb281262fc11,"Pace, Cross and King",793c1925-10e0-4b3d-b2bf-2426b03c4a90,Ray Inc,a3d58f86-ef3b-4a8f-aa92-7a16edb2b5f8,Mills-Garcia,50c1e434-f6d3-4e7d-9e60-9f6ae9774437,Munoz-Allen,88e0d829-2ae2-4fdf-9e4c-65ca203a2437,Heather Martin,23-03-2024,23-03-2024,23-03-2024,17,17,17,Shipped,In Transit,437.22,Overdue
a41d6eec-1668-4103-a9dc-b5174f2db563,3afc4140-71e7-4052-89df-5ba01d18eade,EcoFresh Water Bottle,65aafe09-ca64-4a0a-a57a-42ca570e0fd1,"Fletcher, Ortega and Leach",012e1daa-853a-474a-9bd0-b3bc2a174cba,Scott Group,beb6f65f-4bc5-4d03-8492-f9d9db68d251,Pineda-Clark,83287207-840a-4021-ac85-10bd2b542c05,Patrick Inc,b55790ba-5e8a-4be4-869a-6472db6afd1a,Michelle Beasley,06-06-2024,06-06-2024,06-06-2024,95,86,63,Ordered,In Transit,450.59,Paid
89d9c64f-818f-49af-a36e-a6dd324a1fca,b19968c9-7991-44c1-a904-10e00701b1f6,EcoFresh Water Bottle,c0fb5e96-6c7b-4f2e-8ae7-be42f49abfcd,Hall PLC,e8e6703d-b93f-4080-97c6-332d3d2f3ed1,Mckee-Grant,49313c70-f599-45f5-a033-236a01b773a5,Mayer-Harvey,5c972728-cc57-4c15-8b5c-2739e1eaedb0,"Fitzgerald, Lee and Casey",2400d85a-54f3-4342-ae1c-7ad06c64c233,Angela Vazquez,18-06-2023,19-10-2023,05-06-2024,27,27,27,Ordered,Delivered,563.43,Paid
dea5e032-bc52-4893-8ffd-ee827fab4c7b,614e2782-6552-4247-9f9d-79e10d47103c,EcoFresh Water Bottle,d7be1239-d9e7-4921-ba47-73746ff70a83,"Baxter, Esparza and Schultz",66f7c0cb-8a2f-443a-b194-cdc0e7e70a8d,Price-Stewart,741a128a-6b2d-4bd0-8146-f1281e01e049,Wiley-Price,8a937c7a-9972-4c89-8e13-3ec48441425d,Young-Reed,9e6a1113-9a3d-4515-8444-4b0f6db255e8,Edward Davis,18-06-2023,27-08-2023,22-03-2024,60,40,40,Delivered,Delivered,629.48,Pending
d34e26a5-700f-41c4-8a54-74391c744c5f,e995e6be-4bea-4353-8e43-fdd25d4aa516,EcoFresh Water Bottle,028a1d0f-d01d-41fe-9bdd-06903bdb2998,Thomas-Woods,550930f9-4aaf-40e0-b302-28e61edffd18,Thompson PLC,2a17f28f-703a-455c-abfd-41935d6579c0,Flowers-Ward,1029c129-9330-4a6c-9e9b-54a5f0575561,Robles Ltd,4c9520c0-9fab-40c3-8412-1891b18b9d13,Jeremy Martin,08-07-2023,13-08-2023,13-08-2023,5,5,5,Shipped,Delivered,187.1,Paid
af40cfa7-a4e1-437d-82b1-0440883bbdd3,a4ce4eb2-e23a-42b9-b79d-346eefcaf7ff,EcoFresh Water Bottle,112ee190-78b5-4e51-80b6-da9bc5a532a2,"Cooley, Duncan and Thompson",50c3f961-9111-4fc2-a64f-9098c72ecf83,"Smith, Rice and Wilson",8650bd4d-be97-4dd7-b7fa-c0b2c914efdc,Davis-Powell,d6cfea6d-25f8-434c-954c-1ef3008b1659,"Ruiz, Carney and Martin",70acc0d3-6ca8-406d-acf3-9ed5f7d56d99,Ryan Kent,14-07-2023,04-04-2024,10-04-2024,83,78,42,Shipped,Delivered,404.21,Overdue
805f4be6-008d-4f3f-9e4a-a5ecace320c9,59608eb3-755f-49c6-abd4-e39cb9cb6520,EcoFresh Water Bottle,fa0b2054-bc91-4c3a-880b-8a7f4874ec3d,"Dickerson, Adams and Knapp",b91541c9-27ad-4afa-bdc4-bc7a41c15950,Ho and Sons,9f6f2fa1-819f-4e52-bf1e-406fdd935ddc,Cooley-Smith,ce03e163-bd66-4d98-b26d-fb0124babf70,"Mccann, Pratt and Erickson",e3ea3bed-f04c-4278-b99d-d099ddbe4028,Shane Jones,13-01-2024,13-01-2024,13-01-2024,80,80,19,Delivered,In Transit,286.55,Overdue
